stage,case_id,n_vehicle_logs,case_strict_success,case_replayed_dwell_all,case_any_close_pass,inside_u3,delta_h0_m,delta_v0_mps
B5A,phase2_B5A_hp273p956m_vm23p6673mps_sp2deg_combined,3,False,False,True,False,273.956,-23.667
B5A,phase2_B5A_hp278p383m_vm38p3217mps_sp2deg_by_vehicle,3,False,False,False,False,278.383,-38.322
B5A,phase2_B5A_hp278p383m_vm38p3217mps_sp2deg_combined,3,False,False,True,False,278.383,-38.322
B5A,phase2_B5A_hp27p6014m_vm12p4877mps_sp2deg_by_vehicle,3,False,False,False,False,27.601,-12.488
B5A,phase2_B5A_hp27p6014m_vm12p4877mps_sp2deg_combined,3,False,False,True,False,27.601,-12.488
B5A,phase2_B5A_hp286p924m_vm10p1089mps_sp2deg_by_vehicle,3,False,False,False,False,286.924,-10.109
B5A,phase2_B5A_hp286p924m_vm10p1089mps_sp2deg_combined,3,True,True,False,False,286.924,-10.109
B5A,phase2_B5A_hp301p31m_vp8p98796mps_sp2deg_by_vehicle,3,False,False,False,True,301.31,8.988
B5A,phase2_B5A_hp301p31m_vp8p98796mps_sp2deg_combined,3,True,True,False,True,301.31,8.988
B5A,phase2_B5A_hp325p987m_vm9p58915mps_sp2deg_by_vehicle,3,False,False,False,True,325.987,-9.589
B5A,phase2_B5A_hp325p987m_vm9p58915mps_sp2deg_combined,3,True,True,False,True,325.987,-9.589
B5A,phase2_B5A_hp327p631m_vm12p1001mps_sp2deg_by_vehicle,3,False,False,False,False,327.631,-12.1
B5A,phase2_B5A_hp327p631m_vm12p1001mps_sp2deg_combined,3,True,True,False,False,327.631,-12.1
B5A,phase2_B5A_hp332p26m_vm1p71414mps_sp2deg_by_vehicle,3,False,False,False,True,332.26,-1.714
B5A,phase2_B5A_hp332p26m_vm1p71414mps_sp2deg_combined,3,True,True,False,True,332.26,-1.714
B5A,phase2_B5A_hp333p663m_vm5p88237mps_sp2deg_by_vehicle,3,False,False,False,True,333.663,-5.882
B5A,phase2_B5A_hp333p663m_vm5p88237mps_sp2deg_combined,3,True,True,False,True,333.663,-5.882
B5A,phase2_B5A_hp357p148m_vm8p05586mps_sp2deg_by_vehicle,3,False,False,False,True,357.148,-8.056
B5A,phase2_B5A_hp357p148m_vm8p05586mps_sp2deg_combined,3,True,True,False,True,357.148,-8.056
B5A,phase2_B5A_hp358p598m_vm8p15792mps_sp2deg_by_vehicle,3,False,False,False,True,358.598,-8.158
B5A,phase2_B5A_hp358p598m_vm8p15792mps_sp2deg_combined,3,True,True,False,True,358.598,-8.158
B5A,phase2_B5A_hp392p403m_vm2p26165mps_sp2deg_by_vehicle,3,False,False,False,True,392.403,-2.262
B5A,phase2_B5A_hp392p403m_vm2p26165mps_sp2deg_combined,3,True,True,False,True,392.403,-2.262
B5A,phase2_B5A_hp402p748m_vp0p426887mps_sp2deg_combined,3,True,True,False,True,402.748,0.427
